Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Total Deal Amount (Crores),Valuation Requested (Crores),Deal Valuation (Crores),Deal Success,Investor Count,Equity per Lakh,Pitcher Age Group
1,BluePineFoods,1,1,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,food and beverage,Frozen Momos,https://bluepinefoods.com/,2016,3,2,1,0,0,40,Delhi,Delhi,95,8.0,0,0,0.0,No,0,No,No,No,50.0,5.0,1000.0,1,1,75.0,16.0,0,0,469.0,3,No,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,25.0,5.33,0.0,Ashneer Grover,Ashneer Grover,1,1,1,1,0,0,0,1,0.75,10.0,4.69,1,3,4.6875,30-50
1,BoozScooters,1,2,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,vehicles/electrical vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017,1,1,0,0,0,25,Ahmedabad,Gujarat,4,0.4,0,0,0.0,No,0,No,No,No,40.0,15.0,267.0,1,1,40.0,50.0,0,0,80.0,2,No,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,20.0,25.0,0.0,Ashneer Grover,Ashneer Grover,1,1,1,1,0,0,0,1,0.4,2.67,0.8,1,2,0.8,<30
1,HeartUpMySleeves,1,3,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,beauty/fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021,1,0,1,0,0,25,Delhi,Delhi,0,2.0,0,0,0.0,No,0,No,No,No,25.0,10.0,250.0,1,1,25.0,30.0,0,0,83.0,2,No,0.0,0.0,0.0,0.0,0.0,0.0,12.5,15.0,0.0,12.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.25,2.5,0.83,1,2,0.8333333333333334,<30
1,TagzFoods,2,4,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,food and beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019,2,2,0,0,0,40,Bangalore,Karnataka,700,0.0,48,0,0.0,No,0,No,No,No,70.0,1.0,7000.0,1,1,70.0,2.75,0,0,2545.0,1,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,70.0,2.75,0.0,Ashneer Grover,Ashneer Grover,1,1,1,1,0,0,0,1,0.7,70.0,25.45,1,1,25.454545454545453,30-50
1,HeadAndHeart,2,5,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,children/education,Brain Development Course,https://thehnh.in/,2015,4,1,3,0,1,40,Patiala,Punjab,30,0.0,0,0,0.0,No,0,No,No,No,50.0,5.0,1000.0,0,0,0.0,0.0,0,0,0.0,0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.0,10.0,0.0,0,0,,30-50
1,Agritourism,2,6,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,agriculture,Tourism,https://www.agritourism.in/,2005,2,1,1,0,1,40,Baramati,Maharashtra,79,0.0,0,0,0.0,No,0,No,No,No,50.0,5.0,1000.0,0,0,0.0,0.0,0,0,0.0,0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.0,10.0,0.0,0,0,,30-50
1,qZenseLabs,3,7,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,food and beverage,Food Freshness Detector,https://www.qzense.com/,2020,2,0,2,0,0,40,"Delhi,Mohali","Delhi,Punjab",25,15.0,0,0,0.0,No,0,yes,No,No,100.0,0.25,40000.0,1,0,0.0,0.0,0,0,0.0,0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.0,400.0,0.0,0,0,,30-50
1,Peeschute,3,8,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,beauty/fashion,Disposable Urine Bag,https://www.peeschute.com/,2019,1,1,0,0,0,25,Jalna,Maharashtra,100,0.0,0,0,0.0,No,2,No,No,No,75.0,4.0,1875.0,1,1,75.0,6.0,0,0,1250.0,1,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.75,18.75,12.5,1,1,12.5,<30
1,NOCD,3,9,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,food and beverage,Energy Drink,https://www.jouleshealth.com/,2019,2,2,0,0,0,40,Bangalore,Karnataka,0,20.0,0,0,0.0,No,0,No,No,No,50.0,2.0,2500.0,1,1,20.0,15.0,30,0,133.0,1,yes,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.2,25.0,1.33,1,1,1.3333333333333333,30-50
1,CosIQ,4,10,20-Dec-21,04-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,beauty/fashion,Intelligent Skincare,https://mycosiq.com/,2021,2,1,1,0,1,40,Delhi,Delhi,0,4.0,75,20,0.0,No,8,No,No,No,50.0,7.5,667.0,1,1,50.0,25.0,0,0,200.0,2,No,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Ashneer Grover,1,1,1,1,0,0,0,1,0.5,6.67,2.0,1,2,2.0,30-50
